Run,Accuracy,Precision,Recall,F1,AUC,Processing Time (s)
0,0.5298507462686567,0.624515503875969,0.6779162339910003,0.5180131316014844,0.6779162339910004,0.6303372383117676
1,0.6268656716417911,0.6421875,0.7585227272727273,0.5862154150197628,0.7585227272727273,0.5560498237609863
2,0.47761194029850745,0.5838178294573644,0.6517543859649123,0.4537619380386676,0.6517543859649123,0.5885345935821533
3,0.6044776119402985,0.6387387387387388,0.7260550458715597,0.5755184985954216,0.7260550458715596,0.6796188354492188
4,0.5447761194029851,0.6210131332082551,0.6893577981651376,0.5255122772392175,0.6893577981651376,0.5785274505615234
5,0.5671641791044776,0.6354530631260191,0.7012807199723088,0.5502314814814815,0.7012807199723088,0.5855319499969482
6,0.5522388059701493,0.6487154150197628,0.6844362745098039,0.5472972972972974,0.6844362745098039,0.536487340927124
7,0.5597014925373134,0.5995916515426497,0.6441707717569787,0.5380660239555946,0.6441707717569787,0.659991979598999
8,0.582089552238806,0.638507326007326,0.7291666666666667,0.5568154972832506,0.7291666666666667,0.5645859241485596
9,0.5223880597014925,0.6521739130434783,0.6981132075471699,0.5171171171171172,0.6981132075471699,0.6017987728118896
10,0.6194029850746269,0.6522522522522523,0.7339910003461405,0.5948301416968045,0.7339910003461407,0.5832407474517822
11,0.4925373134328358,0.5913565426170468,0.6603455541508638,0.4693687398089914,0.6603455541508638,0.5683434009552002
12,0.5671641791044776,0.6741573033707865,0.7184466019417476,0.5623873873873875,0.7184466019417476,0.5841724872589111
13,0.5149253731343284,0.5817129629629629,0.6382687034860948,0.48749632244777874,0.6382687034860948,0.5274791717529297
14,0.5895522388059702,0.6252252252252253,0.7177830003916961,0.5556761319105323,0.7177830003916961,0.4924473762512207
15,0.5671641791044776,0.6507142857142857,0.7132749326145553,0.5551739926739927,0.7132749326145553,0.5284802913665771
16,0.5597014925373134,0.6131944444444444,0.6467146714671468,0.5486154724521839,0.6467146714671468,0.5595080852508545
17,0.6044776119402985,0.6194196428571428,0.709557383470427,0.5636251920122888,0.709557383470427,0.5895929336547852
18,0.5746268656716418,0.6377314814814814,0.7059536171685704,0.5566262262727114,0.7059536171685705,0.5725665092468262
19,0.5671641791044776,0.6165413533834586,0.6877064220183486,0.540987479329081,0.6877064220183486,0.5895357131958008
20,0.5746268656716418,0.633716915995397,0.7069088319088319,0.5537248028045574,0.7069088319088319,0.5549929141998291
21,0.5895522388059702,0.6539715816445376,0.7118589743589744,0.5770930165834625,0.7118589743589744,0.5815463066101074
22,0.5149253731343284,0.6437188565434041,0.6756410256410257,0.5116344266890944,0.6756410256410257,0.5394902229309082
23,0.5746268656716418,0.6377314814814814,0.7059536171685704,0.5566262262727114,0.7059536171685705,0.5214734077453613
24,0.5895522388059702,0.6398809523809523,0.7006568144499179,0.5721832007894584,0.7006568144499179,0.5054593086242676
